"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Computer + Equip","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-0.631608","0","0.2749782","-8.794543","0","40.45134","-0.8597115","22.64131","0","17.83214","0","7.16851","0","4.35041","-0.9967049","16.28333","15.71725","16.00029","17.83214","0","17.83214","26.63683","26.63683","0","0","9.0625",
"01.01.2002 02:00:00","-0.64624","0","0.2775802","-9.586988","0","40.74706","-0.8663373","26.93022","0","17.83214","0","7.16851","0","6.559929","0","16.28333","15.62461","15.95397","17.83214","0","17.83214","31.68262","31.68262","0","0","8.675",
"01.01.2002 03:00:00","-0.65985","0","0.2795826","-10.06819","0","40.95398","-0.8720775","30.26445","0","17.83214","0","7.16851","0","9.344654","0","16.28333","15.53974","15.91153","17.83214","0","17.83214","35.60524","35.60524","0","0","8.475",
"01.01.2002 04:00:00","-0.669721","0","0.2809739","-10.4085","0","40.87217","-0.8781813","33.13529","0","17.83214","0","7.16851","0","11.83896","0","16.28333","15.46213","15.87273","17.83214","0","17.83214","38.98269","38.98269","0","0","8.3375",
"01.01.2002 05:00:00","-0.676829","0","0.281927","-10.6538","0","40.68916","-0.8842007","35.69095","0","17.83214","0","7.16851","0","14.1216","0","16.28333","15.39131","15.83732","17.83214","0","17.83214","41.98935","41.98935","0","0","8.2375",
"01.01.2002 06:00:00","-0.679548","0","0.282641","-10.87516","0","40.46555","-0.8899996","38.08028","0","17.83214","0","7.16851","0","16.23177","0","16.28333","15.32691","15.80512","17.83214","0","17.83214","44.80033","44.80033","0","0","8.1375",
"01.01.2002 07:00:00","-0.683111","0","0.2829911","-10.96749","0","40.33112","-0.8949647","39.9914","0","17.83214","0","7.16851","0","18.04214","0","16.28333","15.26923","15.77628","17.83214","0","17.83214","47.04871","47.04871","0","0","8.1",
"01.01.2002 08:00:00","-0.683657","0","0.2831772","-10.99132","0","40.05134","-0.8998622","41.595","0","17.83214","0","7.16851","0","19.65196","0","16.28333","15.21717","15.75025","17.83214","0","17.83214","48.93529","48.93529","0","0","8.1",
"01.01.2002 09:00:00","-0.675761","0","0.2815678","-10.63552","0","39.77662","-0.9001153","40.88519","0","17.83214","0","7.16851","7.25044","19.28509","0","16.28333","15.22305","15.75319","17.83214","0","17.83214","48.10022","48.10022","0","0","8.225",
"01.01.2002 10:00:00","-0.62826","0","0.2751561","-8.787089","0","39.7485","-0.878597","30.29605","0","17.83214","0","7.16851","35.83908","11.15353","0","16.28333","15.47565","15.87949","17.83214","0","17.83214","35.64241","35.64241","0","0","9.1125",
"01.01.2002 11:00:00","-0.564213","0","0.2656375","-6.425453","0","39.76755","-0.8539869","16.96569","0","17.83214","0","7.16851","53.93331","2.609951","-1.346691","16.28413","15.7724","16.02826","17.83214","0","17.83214","19.95963","19.95963","0","0","10.35",
"01.01.2002 12:00:00","-0.548672","0","0.2561123","-4.506698","0","39.43898","-0.8242787","4.92419","0","17.83214","0","7.16851","65.29089","0.1294613","-7.749645","16.32207","16.10266","16.21236","17.83214","0","17.83214","5.793165","5.793165","0","0","11.4875",
"01.01.2002 13:00:00","-0.593911","0","0.2494071","-3.366054","0","38.97354","-0.7922867","0","0","17.83214","0","7.157422","65.09129","0","-10.42654","16.4465","16.38105","16.41377","17.83214","0","17.83214","0","0","0","0","12.3375",
"01.01.2002 14:00:00","-0.52276","0","0.2477736","-3.108874","0","38.30039","-0.7557934","0","0","17.83214","0","7.090984","56.38338","0","-9.944574","16.67934","16.59919","16.63927","17.83214","0","17.83214","0","0","0","0","12.7875",
"01.01.2002 15:00:00","-0.432834","0","0.2476338","-3.171461","0","37.8936","-0.7351972","0","0","17.83214","0","7.025862","34.36659","0","-10.21328","16.82911","16.66761","16.74836","17.83214","0","17.83214","0","0","0","0","12.9",
"01.01.2002 16:00:00","-0.399168","0","0.2508233","-3.667814","0","38.00453","-0.732079","0","0","17.83214","0","7.000468","19.12134","0","-11.23642","16.84603","16.67329","16.75965","17.83214","0","17.83214","0","0","0","0","12.5875",
"01.01.2002 17:00:00","-0.368621","0","0.2553495","-4.44049","0","38.75643","-0.7525533","0.282278","0","17.83214","0","7.018525","1.636375","0.2824686","-12.68354","16.71158","16.55195","16.63177","17.83214","0","17.83214","0.332092","0.332092","0","0","11.9625",
"01.01.2002 18:00:00","-0.365625","0","0.257939","-4.958296","0","39.71194","-0.7756901","0.683899","0","17.83214","0","7.064849","0","0.6838987","-13.62485","16.5492","16.45664","16.50292","17.83214","0","17.83214","0.804587","0.804587","0","0","11.45",
"01.01.2002 19:00:00","-0.416678","0","0.2595037","-5.262743","0","40.52531","-0.7940864","1.036723","0","17.83214","0","7.107445","0","1.036737","-14.12878","16.4215","16.35913","16.39032","17.83214","0","17.83214","1.219674","1.219674","0","0","11.1125",
"01.01.2002 20:00:00","-0.504116","0","0.2614067","-5.571001","0","41.14717","-0.8116746","2.338437","0","17.83214","0","7.149463","0","1.525187","-13.72745","16.3114","16.24937","16.28039","17.83214","0","17.83214","2.751103","2.751103","0","0","10.8125",
"01.01.2002 21:00:00","-0.541443","0","0.2643599","-6.084101","0","41.53975","-0.8239138","6.426968","0","17.83214","0","7.168489","0","2.013775","-10.85289","16.28333","16.13518","16.20926","17.83214","0","17.83214","7.561139","7.561139","0","0","10.5125",
"01.01.2002 22:00:00","-0.568118","0","0.266086","-6.55366","0","41.71828","-0.8316951","10.11289","0","17.83214","0","7.16851","0","2.529619","-8.51505","16.28333","16.02487","16.1541","17.83214","0","17.83214","11.89752","11.89752","0","0","10.2125",
"01.01.2002 23:00:00","-0.59444","0","0.269941","-7.233707","0","41.45887","-0.8405024","13.99602","0","17.83214","0","7.16851","0","3.123844","-6.050906","16.28333","15.916","16.09966","17.83214","0","17.83214","16.4659","16.4659","0","0","9.9125",
"02.01.2002","-0.61208","0","0.2725012","-7.82458","0","40.72293","-0.8507914","17.7147","0","17.83214","0","7.16851","0","3.704499","-3.740899","16.28333","15.81328","16.0483","17.83214","0","17.83214","20.84082","20.84082","0","0","9.6125",
"02.01.2002 01:00:00","-0.632862","0","0.2755769","-8.649164","0","40.15879","-0.8604322","21.15906","0","17.83214","1.233728","7.16851","0","3.300425","-1.070208","16.28333","15.71608","15.9997","19.06586","0","19.06586","24.89302","24.89302","0","0","9.1875",
"02.01.2002 02:00:00","-0.656776","0","0.27991","-9.745369","0","39.57052","-0.8698125","26.18303","0","17.83214","1.233728","7.16851","0","5.872464","0","16.28333","15.62094","15.95214","19.06586","0","19.06586","30.80356","30.80356","0","0","8.6875",
"02.01.2002 03:00:00","-0.684636","0","0.2824478","-10.69471","0","38.93483","-0.8790914","31.0074","0","17.83214","1.233728","7.16851","0","9.310406","0","16.28333","15.53149","15.90741","19.06586","0","19.06586","36.4793","36.4793","0","0","8.1875",
"02.01.2002 04:00:00","-0.697602","0","0.2865952","-11.69989","0","38.46458","-0.8873789","35.39385","0","17.83214","1.233728","7.16851","0","12.65607","0","16.28333","15.44909","15.86621","19.06586","0","19.06586","41.63983","41.63983","0","0","7.8125",
"02.01.2002 05:00:00","0.771516","0","0.3011174","-17.06675","0","34.70032","-0.7814882","106.2162","0","17.83214","1.233728","6.725563","0","84.65013","-11.86194","17.83087","15.52784","16.67935","19.06586","0","19.06586","124.9603","124.9603","0","0","7.5125",
"02.01.2002 06:00:00","-2.608154","0","0.594294","-18.52532","0","32.7672","-0.6226432","132.4668","48.14677","44.58034","1.233728","16.55017","0","55.19821","0","18.82232","15.92471","17.37352","45.81407","48.14677","93.96084","155.8433","155.8433","0","0","7.2125",
"02.01.2002 07:00:00","-2.80188","0","0.8829572","-19.1102","0","33.04559","-0.5545334","140.126","24.07338","71.32854","1.233728","26.48028","0","36.29529","-18.71292","18.85","16.23056","17.54028","72.56227","24.07338","96.63566","164.8541","164.8541","0","0","6.975",
"02.01.2002 08:00:00","-2.835482","0","1.095963","-19.6641","0","33.12222","-0.5264781","134.4574","52.09663","89.16068","2.467455","35.1552","0","16.56855","-42.22586","18.85","16.53624","17.69312","91.62814","52.09663","147.7695","158.1852","158.1852","0","4.044692","6.775",
"02.01.2002 09:00:00","-2.866617","0","1.116917","-19.87079","0","32.70594","-0.5058232","127.5827","52.09663","89.16068","4.934911","37.21004","2.357692","8.682392","-46.42332","18.85","16.77531","17.81265","94.09559","52.09663","154.2816","150.0973","150.0973","0","8.089386","6.7",
"02.01.2002 10:00:00","-2.82064","0","0.9448622","-19.31982","0","32.44804","-0.4874915","104.7872","52.09663","71.32854","7.402367","32.64481","12.1593","3.358199","-34.46497","18.85","17.00767","17.92883","78.73091","52.09663","142.9616","123.2791","123.2791","0","12.13408","6.8875",
"02.01.2002 11:00:00","-2.784906","0","1.153762","-18.19165","0","33.3849","-0.462042","101.9169","52.09663","89.16068","9.869822","41.31973","20.79243","0.3668311","-63.95471","18.85","17.27591","18.06295","99.0305","52.09663","167.3059","119.9023","119.9023","0","16.17877","7.25",
"02.01.2002 12:00:00","-2.741189","0","0.6741136","-17.47388","0","34.13687","-0.443396","65.66567","52.09663","44.58034","9.869822","24.76955","23.48107","0","-22.92997","18.85","17.44801","18.149","54.45016","52.09663","122.7256","77.25373","77.25373","0","16.17877","7.525",
"02.01.2002 13:00:00","-2.781033","0","0.9212931","-17.43954","0","34.69429","-0.4290695","74.98456","52.09663","71.32854","4.934911","30.5871","19.13966","2.305974","-50.8479","18.85789","17.58489","18.22139","76.26346","52.09663","136.4495","88.21712","88.21712","0","8.089386","7.6",
"02.01.2002 14:00:00","-2.876708","0","1.132918","-17.42002","0","34.75282","-0.4139191","81.3325","52.09663","89.16068","7.402367","39.24496","17.52923","0.1139968","-75.21146","18.87317","17.73912","18.30615","96.56305","52.09663","160.7937","95.68529","95.68529","0","12.13408","7.6",
"02.01.2002 15:00:00","-2.989794","0","1.153076","-17.51449","0","35.11085","-0.400117","79.64487","52.09663","89.16068","9.869822","41.27227","14.55826","0","-81.76962","18.88757","17.86782","18.3777","99.0305","52.09663","167.3059","93.69986","93.69986","0","16.17877","7.5375",
"02.01.2002 16:00:00","-3.089234","0","0.9622101","-17.77643","0","35.92506","-0.3901657","70.09505","52.09663","71.32854","9.869822","34.63205","7.911305","0","-63.54169","18.90207","17.91285","18.40746","81.19836","52.09663","149.4738","82.46475","82.46475","0","16.17877","7.4375",
"02.01.2002 17:00:00","-3.267531","0","0.9227125","-18.38587","0","36.31181","-0.3855687","73.17731","52.09663","71.32854","4.934911","30.54185","0.9199551","0.841747","-55.92846","18.92517","17.90174","18.41345","76.26346","52.09663","136.4495","86.09096","86.09096","0","8.089386","7.2125",
"02.01.2002 18:00:00","-3.393019","0","0.904214","-19.33039","0","36.99524","-0.3809302","78.16985","52.09663","71.32854","2.467455","28.50422","0","2.438373","-52.62186","18.9427","17.89887","18.42078","73.79601","52.09663","129.9373","91.96454","91.96454","0","4.044692","6.85",
"02.01.2002 19:00:00","-3.629149","0","0.6006977","-20.79159","0","38.04647","-0.3745195","55.79604","76.17001","44.58034","1.233728","16.55018","0","3.76853","-28.77406","18.9691","17.87548","18.42229","45.81407","76.17001","121.9841","65.6424","65.6424","0","0","6.3875",
"02.01.2002 20:00:00","-2.273994","0","0.5997867","-21.12367","0","38.9471","-0.4216676","53.52716","48.14677","44.58034","1.233728","16.55018","0","0","-28.56164","18.56481","17.75342","18.15911","45.81407","48.14677","93.96084","62.97314","62.97314","0","0","6.2",
"02.01.2002 21:00:00","-1.234119","0","0.5996078","-21.2678","0","39.72784","-0.4783121","54.06002","48.14677","44.58034","1.233728","16.55018","0","0","-29.36637","18.28006","17.64718","17.96362","45.81407","48.14677","93.96084","63.60002","63.60002","0","0","6.0125",
"02.01.2002 22:00:00","-0.631951","0","0.6000032","-21.85626","0","41.4289","-0.510592","57.05435","48.14677","44.58034","1.233728","16.55018","0","0","-28.50993","18.1259","17.5407","17.8333","45.81407","48.14677","93.96084","67.12276","67.12276","0","0","5.7125",
"02.01.2002 23:00:00","-1.256592","0","0.3097942","-20.29732","0","44.36795","-0.5768095","0","0","17.83214","1.233728","6.832737","0","0","-32.18883","17.31458","17.24413","17.27936","19.06586","0","19.06586","0","0","0","0","5.4125",
"03.01.2002","-1.717135","0","0.3051597","-18.49795","0","46.95775","-0.6999751","25.12513","0","17.83214","1.233728","7.159163","0","0","-5.197349","16.49756","16.89272","16.69514","19.06586","0","19.06586","29.55897","29.55897","0","0","5.1125",
"03.01.2002 01:00:00","-1.427876","0","0.3058057","-18.90863","0","47.26926","-0.7360256","29.2853","0","17.83214","1.233728","7.16851","0","2.338883E-02","-1.543217","16.42864","16.61731","16.52298","19.06586","0","19.06586","34.45329","34.45329","0","0","4.9375",
"03.01.2002 02:00:00","-1.191475","0","0.3058388","-18.98996","0","47.44341","-0.7612368","33.11167","0","17.83214","1.233728","7.16851","0","2.205012","0","16.3782","16.38008","16.37914","19.06586","0","19.06586","38.95491","38.95491","0","0","4.9",
"03.01.2002 03:00:00","-0.97841","0","0.3060763","-19.14792","0","47.55178","-0.7838337","37.24504","0","17.83214","1.233728","7.16851","0","6.168146","0","16.33288","16.16957","16.25123","19.06586","0","19.06586","43.8177","43.8177","0","0","4.8375",
"03.01.2002 04:00:00","-0.863253","0","0.3061332","-19.23413","0","47.5541","-0.8033839","41.37291","0","17.83214","1.233728","7.16851","0","10.19455","0","16.30546","15.98317","16.14431","19.06586","0","19.06586","48.674","48.674","0","0","4.8",
"03.01.2002 05:00:00","0.90437","0","0.3176685","-24.6971","0","43.06027","-0.7038705","107.4609","0","17.83214","1.233728","6.732514","0","81.37715","-14.83955","17.85967","15.96804","16.91385","19.06586","0","19.06586","126.4246","126.4246","0","0","4.8",
"03.01.2002 06:00:00","-2.932845","0","0.6071799","-25.19783","0","40.79744","-0.5530214","142.2637","48.14677","44.58034","1.233728","16.55017","0","48.74654","0","18.82481","16.27587","17.55034","45.81407","48.14677","93.96084","167.369","167.369","0","0","4.8625",
"03.01.2002 07:00:00","-3.087249","0","0.8943267","-25.16209","0","41.07393","-0.493361","159.4353","24.07338","71.32854","1.233728","26.48028","0","29.60215","-16.07366","18.85","16.50827","17.67913","72.56227","24.07338","96.63566","187.571","187.571","0","0","4.9",
"03.01.2002 08:00:00","-3.095915","0","1.105532","-25.22686","0","41.17608","-0.4688621","159.1289","52.09663","89.16068","2.467455","35.1552","0","10.87115","-38.83701","18.85","16.76496","17.80748","91.62814","52.09663","147.7695","187.2104","187.2104","0","4.044692","4.9",
"03.01.2002 09:00:00","-3.07421","0","1.123943","-24.46024","0","41.00982","-0.4477066","147.5076","52.09663","89.16068","4.934911","37.21004","6.656535","3.193046","-43.86356","18.85","17.0042","17.9271","94.09559","52.09663","154.2816","173.5383","173.5383","0","8.089386","5.15",
"03.01.2002 10:00:00","-2.886352","0","0.9430931","-19.91422","0","40.93634","-0.4215255","98.13653","52.09663","71.32854","7.402367","32.64481","24.43135","0","-40.6007","18.85","17.32058","18.08529","78.73091","52.09663","142.9616","115.4547","115.4547","0","12.13408","6.675",
"03.01.2002 11:00:00","-2.678213","0","1.141397","-14.90076","0","40.43623","-0.3959922","67.62506","52.09663","89.16068","9.869822","41.31937","31.28959","0","-78.36195","18.85273","17.64464","18.24869","99.0305","52.09663","167.3059","79.55889","79.55889","0","16.17877","8.5625",
"03.01.2002 12:00:00","-2.747936","0","0.6551372","-11.40871","0","39.08379","-0.373878","26.75668","52.09663","44.58034","9.869822","24.72157","36.49772","0","-41.42993","18.90182","17.92047","18.41115","54.45016","52.09663","122.7256","31.47845","31.47845","0","16.17877","10.075",
"03.01.2002 13:00:00","-2.908032","0","0.8927423","-9.12909","0","38.18634","-0.3414215","9.04357","52.09663","71.32854","4.934911","30.52015","41.35971","0","-73.09984","18.96427","18.26863","18.61645","76.26346","52.09663","136.4495","10.6395","10.6395","0","8.089386","11.1625",
"03.01.2002 14:00:00","-3.023617","0","1.099167","-7.944465","0","37.47961","-0.3029191","0","52.09663","89.16068","7.402367","38.97418","35.17587","0","-95.91573","19.15425","18.59435","18.8743","96.56305","52.09663","160.7937","0","0","0","12.13408","11.875",
"03.01.2002 15:00:00","-3.13413","0","1.121092","-8.025925","0","37.00106","-0.2416299","0","52.09663","89.16068","9.869822","40.33877","29.7798","0","-99.42638","19.49365","18.90755","19.2006","99.0305","52.09663","167.3059","0","0","0","16.17877","12.1625",
"03.01.2002 16:00:00","-3.461777","0","0.9344188","-8.835428","0","36.14716","-0.2081267","0","52.09663","71.32854","9.869822","33.55712","18.12529","0","-86.10571","19.59257","19.09467","19.34362","81.19836","52.09663","149.4738","0","0","0","16.17877","11.8875",
"03.01.2002 17:00:00","-3.99981","0","0.8978418","-10.25973","0","35.23832","-0.2234791","0","52.09663","71.32854","4.934911","29.9448","2.413864","0","-87.5508","19.36716","19.11208","19.23962","76.26346","52.09663","136.4495","0","0","0","8.089386","10.95",
"03.01.2002 18:00:00","-4.376402","0","0.8805248","-11.65647","0","34.78043","-0.2510186","12.13587","52.09663","71.32854","2.467455","28.40128","0","0","-79.7388","19.19172","19.09863","19.14517","73.79601","52.09663","129.9373","14.27749","14.27749","0","4.044692","10.0625",
"03.01.2002 19:00:00","-4.701176","0","0.5785409","-13.04917","0","34.3616","-0.249598","3.362338","76.17001","44.58034","1.233728","16.55017","0","0","-56.26086","19.23065","19.10413","19.16739","45.81407","76.17001","121.9841","3.955692","3.955692","0","0","9.425",
"03.01.2002 20:00:00","-3.779942","0","0.580849","-14.49001","0","34.7247","-0.2841754","10.20437","48.14677","44.58034","1.233728","16.55018","0","0","-54.01759","18.95086","18.96515","18.95801","45.81407","48.14677","93.96084","12.00514","12.00514","0","0","8.7625",
"03.01.2002 21:00:00","-2.444663","0","0.5841172","-15.95068","0","34.97089","-0.3548741","17.62878","48.14677","44.58034","1.233728","16.55018","0","0","-51.45029","18.60576","18.78946","18.69761","45.81407","48.14677","93.96084","20.73974","20.73974","0","0","8.0625",
"03.01.2002 22:00:00","-1.994338","0","0.5880395","-17.65003","0","35.01487","-0.3918257","25.4595","48.14677","44.58034","1.233728","16.55018","0","0","-48.47934","18.4843","18.62995","18.55713","45.81407","48.14677","93.96084","29.95235","29.95235","0","0","7.3625",
"03.01.2002 23:00:00","-2.484906","0","0.3024","-17.41629","0","36.54076","-0.4668704","0","0","17.83214","1.233728","6.798212","0","0","-28.99547","17.73796","18.28137","18.00966","19.06586","0","19.06586","0","0","0","0","6.6625",
"04.01.2002","-2.952421","0","0.3017082","-17.09936","0","38.01028","-0.5824618","0.60557","0","17.83214","1.233728","7.078135","0","0","-27.83951","16.9807","17.87795","17.42933","19.06586","0","19.06586","0.712435","0.712435","0","0","5.9625",
"04.01.2002 01:00:00","-2.854615","0","0.3054883","-18.80474","0","37.99083","-0.6467214","15.60112","0","17.83214","1.233728","7.168329","0","0","-14.58341","16.75155","17.50875","17.13015","19.06586","0","19.06586","18.35426","18.35426","0","0","5.1375",
"04.01.2002 02:00:00","-2.619487","0","0.3120624","-21.73656","0","37.18179","-0.6856428","28.29144","0","17.83214","1.233728","7.16851","0","0","-4.715431","16.67638","17.18727","16.93183","19.06586","0","19.06586","33.28405","33.28405","0","0","4.1125",
"04.01.2002 03:00:00","-2.382569","0","0.3185309","-24.8716","0","36.10409","-0.7227872","40.19646","0","17.83214","1.233728","7.16851","0","4.337542","0","16.60676","16.88931","16.74804","19.06586","0","19.06586","47.28995","47.28995","0","0","3.075",
"04.01.2002 04:00:00","-2.10463","0","0.3238318","-27.39159","0","34.85299","-0.7586797","49.29248","0","17.83214","1.233728","7.16851","0","11.37035","0","16.54226","16.61064","16.57645","19.06586","0","19.06586","57.99116","57.99116","0","0","2.325",
"04.01.2002 05:00:00","0.341159","0","0.3391023","-36.09931","0","30.77579","-0.6705648","118.6469","0","17.83214","1.233728","6.720628","0","87.82996","-19.29676","18.12764","16.49529","17.31146","19.06586","0","19.06586","139.5846","139.5846","0","0","1.725",
"04.01.2002 06:00:00","-3.484839","0","0.6295003","-38.63827","0","28.94999","-0.5589374","165.4296","48.14677","44.58034","1.233728","16.55017","0","46.91741","0","18.8363","16.6642","17.75025","45.81407","48.14677","93.96084","194.623","194.623","0","0","1.125",
"04.01.2002 07:00:00","-3.641771","0","0.9167518","-40.35626","0","27.96839","-0.5232527","213.3038","24.07338","71.32854","1.233728","26.48028","0","23.76567","-2.940619","18.85","16.76484","17.80742","72.56227","24.07338","96.63566","250.9457","250.9457","0","0","0.65",
"04.01.2002 08:00:00","-3.686443","0","1.128065","-41.74935","0","27.11231","-0.5124329","237.3413","52.09663","89.16068","2.467455","35.1552","0","6.817153","-21.66673","18.85","16.9168","17.8834","91.62814","52.09663","147.7695","279.2251","279.2251","0","4.044692","0.25",
"04.01.2002 09:00:00","-3.688562","0","1.148715","-42.12094","0","26.69102","-0.5007277","236.6465","52.09663","89.16068","4.934911","37.21004","7.075053","0.905416","-23.79299","18.85","17.06866","17.95933","94.09559","52.09663","154.2816","278.4076","278.4076","0","8.089386","0.1625",
"04.01.2002 10:00:00","-3.555446","0","0.9725951","-38.02885","0","26.97382","-0.4797524","184.1112","52.09663","71.32854","7.402367","32.64481","26.38379","0","-19.685","18.85","17.31462","18.08231","78.73091","52.09663","142.9616","216.6014","216.6014","0","12.13408","1.2",
"04.01.2002 11:00:00","-3.36001","0","1.172569","-32.21588","0","27.94062","-0.454409","175.7542","52.09663","89.16068","9.869822","41.31973","33.47668","0","-56.44955","18.85","17.57908","18.21454","99.0305","52.09663","167.3059","206.7696","206.7696","0","16.17877","2.8",
"04.01.2002 12:00:00","-3.185626","0","0.689693","-27.27842","0","28.5357","-0.4328975","93.48886","52.09663","44.58034","9.869822","24.76955","37.23314","0","-21.3098","18.85","17.79498","18.32249","54.45016","52.09663","122.7256","109.9868","109.9868","0","16.17877","4.275",
"04.01.2002 13:00:00","-3.324975","0","0.9267294","-23.84096","0","28.7135","-0.4075944","96.89367","52.09663","71.32854","4.934911","30.57214","38.15512","0","-52.65769","18.89211","18.05875","18.47543","76.26346","52.09663","136.4495","113.9926","113.9926","0","8.089386","5.3625",
"04.01.2002 14:00:00","-3.496626","0","1.132982","-22.03503","0","29.34458","-0.3751901","96.58948","52.09663","89.16068","7.402367","39.18826","35.75958","0","-84.16371","18.93101","18.36066","18.64584","96.56305","52.09663","160.7937","113.6347","113.6347","0","12.13408","5.95",
"04.01.2002 15:00:00","-3.690338","0","1.15358","-21.82598","0","29.99184","-0.3461305","90.26839","52.09663","89.16068","9.869822","41.1743","31.59899","0","-93.79852","18.96007","18.62241","18.79124","99.0305","52.09663","167.3059","106.1981","106.1981","0","16.17877","6.0375",
"04.01.2002 16:00:00","-3.944317","0","0.967585","-23.30761","0","29.78171","-0.3302412","80.97942","52.09663","71.32854","9.869822","34.51661","22.68163","0","-75.78558","18.98428","18.76523","18.87475","81.19836","52.09663","149.4738","95.26991","95.26991","0","16.17877","5.5625",
"04.01.2002 17:00:00","-4.443733","0","0.9346051","-26.76261","0","29.11316","-0.3290875","97.86971","52.09663","71.32854","4.934911","30.47175","4.134088","0","-62.18603","19.02886","18.73094","18.8799","76.26346","52.09663","136.4495","115.1408","115.1408","0","8.089386","4.4875",
"04.01.2002 18:00:00","-4.831964","0","0.918933","-29.10768","0","28.43834","-0.3302769","109.2328","52.09663","71.32854","2.467455","28.4613","0","0","-54.24483","19.06665","18.68627","18.87646","73.79601","52.09663","129.9373","128.5092","128.5092","0","4.044692","3.75",
"04.01.2002 19:00:00","-5.34406","0","0.6165768","-30.58122","0","28.68654","-0.3234758","73.32862","76.17001","44.58034","1.233728","16.55018","0","0","-28.79845","19.13617","18.66286","18.89951","45.81407","76.17001","121.9841","86.26897","86.26897","0","0","3.2875",
"04.01.2002 20:00:00","-4.183014","0","0.6185961","-32.15821","0","29.53066","-0.3571549","80.03017","48.14677","44.58034","1.233728","16.55018","0","0","-25.57439","18.85253","18.49032","18.67143","45.81407","48.14677","93.96084","94.15313","94.15313","0","0","2.7875",
"04.01.2002 21:00:00","-2.540442","0","0.6207349","-33.33511","0","30.43464","-0.4280804","86.16003","48.14677","44.58034","1.233728","16.55018","0","0","-22.48856","18.51379","18.28144","18.39762","45.81407","48.14677","93.96084","101.3647","101.3647","0","0","2.35",
"04.01.2002 22:00:00","-1.977565","0","0.6238749","-34.9373","0","30.97941","-0.4622905","93.00857","48.14677","44.58034","1.233728","16.55018","0","0","-18.8436","18.40144","18.09289","18.24716","45.81407","48.14677","93.96084","109.4218","109.4218","0","0","1.8875",
"04.01.2002 23:00:00","-3.073441","0","0.3346263","-32.58688","0","33.08508","-0.558615","3.103448","0","17.83214","1.233728","6.936948","0","0","-39.17611","17.36132","17.68236","17.52184","19.06586","0","19.06586","3.651115","3.651115","0","0","1.45",
"05.01.2002","-3.274634","0","0.3324781","-31.72605","0","34.1813","-0.6776381","46.8377","0","17.83214","1.233728","7.168265","0","5.634013","-0.4742855","16.74457","17.24241","16.99349","19.06586","0","19.06586","55.10317","55.10317","0","0","0.9875",
"05.01.2002 01:00:00","-2.773582","0","0.3340715","-32.4463","0","34.0029","-0.7231901","55.55342","0","17.83214","1.233728","7.16851","0","13.38606","0","16.65215","16.88729","16.76972","19.06586","0","19.06586","65.35697","65.35697","0","0","0.8",
"05.01.2002 02:00:00","-2.399531","0","0.334313","-32.60869","0","33.14362","-0.7603047","61.31391","0","17.83214","1.233728","7.16851","0","19.00293","0","16.58545","16.57182","16.57864","19.06586","0","19.06586","72.13401","72.13401","0","0","0.7375",
"05.01.2002 03:00:00","-2.038741","0","0.3346757","-32.74418","0","32.24294","-0.7944413","66.86043","0","17.83214","1.233728","7.16851","0","24.44721","0","16.52454","16.29397","16.40925","19.06586","0","19.06586","78.65932","78.65932","0","0","0.7",
"05.01.2002 04:00:00","-1.69732","0","0.3339357","-32.55038","0","31.55832","-0.8252379","71.24465","0","17.83214","1.233728","7.16851","0","28.83532","0","16.46737","16.04369","16.25553","19.06586","0","19.06586","83.81724","83.81724","0","0","0.7",
"05.01.2002 05:00:00","0.759315","0","0.344829","-39.10873","0","28.18689","-0.7384309","136.8192","0","17.83214","1.233728","6.745161","0","102.6296","-18.31755","17.98058","15.97019","16.97538","19.06586","0","19.06586","160.9638","160.9638","0","0","0.7",
"05.01.2002 06:00:00","-3.423741","0","0.6333598","-39.64318","0","26.74903","-0.606892","187.9913","48.14677","44.58034","1.233728","16.5501","0","66.32885","0","18.82716","16.21856","17.52286","45.81407","48.14677","93.96084","221.1663","221.1663","0","0","0.7",
"05.01.2002 07:00:00","-3.578138","0","0.9211773","-39.81664","0","27.3243","-0.5566539","227.2217","24.07338","71.32854","1.233728","26.48028","0","35.22686","0","18.85","16.39177","17.62088","72.56227","24.07338","96.63566","267.3196","267.3196","0","0","0.7",
"05.01.2002 08:00:00","-3.57887","0","1.13287","-39.67304","0","27.47093","-0.535366","239.978","52.09663","89.16068","2.467455","35.1552","0","8.213986","-13.25224","18.85","16.60901","17.72951","91.62814","52.09663","147.7695","282.327","282.327","0","4.044692","0.7625",
"05.01.2002 09:00:00","-3.57802","0","1.15254","-39.16709","0","27.43681","-0.5198936","234.2965","52.09663","89.16068","4.934911","37.21004","1.892851","1.756704","-16.93929","18.85","16.77922","17.81461","94.09559","52.09663","154.2816","275.643","275.643","0","8.089386","0.8625",
